GeneID,Localization
G235524,cytoplasm
G235533,nucleus
G235537,cytoplasm
G235538,nucleus
G235541,ER
G235547,cytoskeleton
G235562,nucleus
G235565,cytoskeleton
G235567,nucleus
G235569,nucleus
G235571,cytoplasm
G235576,cytoplasm
G235587,nucleus
G235589,mitochondria
G235595,cytoplasm
G235596,nucleus
G235602,nucleus
G235605,cytoskeleton
G235612,nucleus
G235635,nucleus
G235638,ER
G235646,cytoskeleton
G235668,mitochondria
G235673,nucleus
G235679,nucleus
G235685,golgi
G235695,nucleus
G235704,cytoskeleton
G235705,nucleus
G235709,cytoskeleton
G235719,plasma membrane
G235746,nucleus
G235748,mitochondria
G235752,nucleus
G235761,cytoskeleton
G235767,mitochondria
G235770,cytoplasm
G235775,cytoskeleton
G235777,nucleus
G235778,cytoplasm
G235783,nucleus
G235794,nucleus
G235795,nucleus
G235804,golgi
G235818,nucleus
G235831,ER
G235848,nucleus
G235855,nucleus
G235857,cytoplasm
G235860,nucleus
G235875,nucleus
G235878,vacuole
G235882,ER
G235888,nucleus
G235893,nucleus
G235898,nucleus
G235900,plasma membrane
G235901,cytoskeleton
G235904,nucleus
G235908,nucleus
G235909,nucleus
G235916,nucleus
G235917,nucleus
G235928,nucleus
G235931,transport vesicles
G235933,mitochondria
G236021,mitochondria
G236066,ER
G236099,nucleus
G236279,cytoplasm
G236380,nucleus
G236523,nucleus
G236606,nucleus
G236661,nucleus
G236736,cytoplasm
G236758,ER
G236771,nucleus
G236812,nucleus
G236813,cytoskeleton
G236831,vacuole
G236838,ER
G236919,nucleus
G236955,nucleus
G236985,nucleus
G237026,cytoplasm
G237043,mitochondria
G237059,cytoplasm
G237100,nucleus
G237116,nucleus
G237124,nucleus
G237126,cytoplasm
G237153,mitochondria
G237154,peroxisome
G237196,cytoplasm
G237321,nucleus
G237337,ER
G237358,nucleus
G237375,cytoplasm
G237387,nucleus
G237392,plasma membrane
G237406,cytoplasm
G237429,plasma membrane
G237436,cytoplasm
G237529,ER
G237587,cytoplasm
G237656,peroxisome
G237670,nucleus
G237700,cytoplasm
G237728,ER
G237747,plasma membrane
G237986,nucleus
G238048,mitochondria
G238063,cytoplasm
G238132,golgi
G238147,cytoplasm
G238170,mitochondria
G238375,vacuole
G238400,mitochondria
G238429,nucleus
G238447,ER
G238584,cytoplasm
G238609,nucleus
G238615,extracellular
G238662,nucleus
G238723,nucleus
G238783,nucleus
G238800,ER
G238809,nucleus
G238856,nucleus
G238898,cytoplasm
G238898,nucleus
G238905,mitochondria
G238920,nucleus
G239060,nucleus
G239162,vacuole
G239167,cytoplasm
G239273,nucleus
G239304,nucleus
G239343,nucleus
G239364,ER
G239399,nucleus
G239517,extracellular
G239520,ER
G239572,nucleus
G239574,nucleus
G239588,mitochondria
G239593,cytoplasm
G239664,mitochondria
G239681,golgi
G239825,cytoplasm
G239830,nucleus
G239835,plasma membrane
G239847,ER
G239856,golgi
G239911,cytoplasm
G239913,plasma membrane
G239922,ER
G239938,cytoplasm
G239971,cytoplasm
G239974,peroxisome
G240040,nucleus
G240057,nucleus
G240072,cytoplasm
G240185,nucleus
G240200,nucleus
G240227,nucleus
G240237,cytoplasm
G240291,cytoplasm
G240296,ER
G240327,nucleus
G240373,nucleus
G240380,transport vesicles
G240407,mitochondria
G240440,nucleus
G240462,mitochondria
G240492,nucleus
